strategy,scenarios,duration_s,n_ground_truth,number_of_samples,sampling_reduction,number_of_uploads,application_upload_reduction,estimated_payload_bytes,average_sampling_interval_s,n_gt_events,true_positives,missed_events,false_positive_events,redundant_detections,false_alarm_events,event_detection_rate,false_positive_per_hour,avg_detection_latency_s,median_detection_latency_s,p95_detection_latency_s,matched_latency_samples,upload_energy_proxy
Fixed-5s,7,26393.0,26400,5280,0.8,5280,0.8,1298880.0,5.0,24,22,2,17,6,11,0.916667,2.318797,12.272727,12.0,14.0,22,5280.0
Fixed-10s,7,26393.0,26400,2640,0.9,2640,0.9,649440.0,10.0,24,22,2,20,5,15,0.916667,2.727996,17.272727,17.0,19.0,22,2640.0
Fixed-20s,7,26393.0,26400,1320,0.95,1320,0.95,324720.0,20.0,24,19,5,20,1,19,0.791667,2.727996,35.947368,37.0,38.1,19,1320.0
Fixed-40s,7,26393.0,26400,660,0.975,660,0.975,162360.0,40.0,24,17,7,14,1,13,0.708333,1.909597,62.941176,57.0,78.0,17,660.0
Fixed-60s,7,26393.0,26400,440,0.983333,440,0.983333,108240.0,60.0,24,11,13,5,2,3,0.458333,0.681999,111.727273,117.0,118.0,11,440.0
AdaptiveSense,7,26393.0,26400,1178,0.955379,768,0.970909,188928.0,22.292912,24,18,6,17,6,11,0.75,2.318797,41.222222,42.0,67.15,18,768.0
